,Optimization Profit,Default Profit,Difference
0,135440.0,0.0,135440.0
1,171894.0,26756.0,145138.0
2,107544.0,0.0,107544.0
3,164725.0,53512.0,111213.0
4,377203.0,208575.0,168628.0
5,200059.0,40134.0,159925.0
6,108888.0,19800.0,89088.0
7,111734.0,0.0,111734.0
8,131843.0,0.0,131843.0
9,110598.0,13378.0,97220.0
10,105237.0,19800.0,85437.0
11,160512.0,13378.0,147134.0
12,355024.0,208575.0,146449.0
13,229063.0,0.0,229063.0
14,398784.0,208575.0,190209.0
15,108877.0,0.0,108877.0
16,148075.0,0.0,148075.0
17,199968.0,80268.0,119700.0
18,167323.0,0.0,167323.0
19,290408.0,208575.0,81833.0
20,125748.0,0.0,125748.0
21,425328.0,208575.0,216753.0
22,184742.0,80268.0,104474.0
23,148521.0,0.0,148521.0
24,113518.0,0.0,113518.0
25,349185.0,208575.0,140610.0
26,179084.0,0.0,179084.0
27,192621.0,93646.0,98975.0
28,122758.0,13378.0,109380.0
29,106199.0,0.0,106199.0
